year,state,county,total_pop,voter_turnout,turnout_per,dem_votes,rep_votes,oth_votes,,,,,
1996,Hawaii,Hawaii,141935,50464,0.3555,27262,13516,9686,,,,,
2000,Hawaii,Hawaii,148677,51388,0.3456,28670,17050,5668,,,,,
2004,Hawaii,Hawaii,159865,57994,0.3628,35116,22032,846,,,,,
2008,Hawaii,Hawaii,175784,67258,0.3826,50819,14866,1573,,,,,
2012,Hawaii,Hawaii,188780,63812,0.3380,47224,14753,1835,,,,,
1996,Hawaii,Maui,120526,36169,0.3001,20600,9323,6246,,,,,
2000,Hawaii,Maui,128094,39692,0.3099,23484,12876,3332,,,,,
2004,Hawaii,Maui,136732,47757,0.3493,28803,18187,767,,,,,
2008,Hawaii,Maui,143574,52039,0.3625,39727,11154,1158,,,,,
2012,Hawaii,Maui,158510,48915,0.3086,36052,11602,1261,,,,,
1996,Hawaii,Kauai,57688,21816,0.3782,13357,5325,3134,,,,,
2000,Hawaii,Kauai,58463,22217,0.3800,13470,6583,2164,,,,,
2004,Hawaii,Kauai,60937,25187,0.4133,14916,9740,531,,,,,
2008,Hawaii,Kauai,63689,27497,0.4317,20416,6245,836,,,,,
2012,Hawaii,Kauai,68551,25617,0.3737,18641,6121,855,,,,,
1996,Hawaii,Honolulu,883443,261781,0.2963,143793,85779,32209,,,,,
2000,Hawaii,Honolulu,876156,258002,0.2945,139618,101310,17074,,,,,
2004,Hawaii,Honolulu,893879,300265,0.3359,152500,144157,3608,,,,,
2008,Hawaii,Honolulu,905034,308443,0.3408,214239,88164,6040,,,,,
2012,Hawaii,Honolulu,976711,298815,0.3059,204349,88461,6005,,,,,
2016,Hawaii,Hawaii,196428,66021,0.3361,41259,17501,7261,,,,,
2016,Hawaii,Maui,164637,52972,0.3218,33480,13446,6046,,,,,
2016,Hawaii,Kauai,71735,27225,0.3795,16456,7574,3195,,,,,
2016,Hawaii,Honolulu,998714,291446,0.2918,175696,90326,25424,,,,,
2020,Hawaii,Hawaii,220900,,,,,,,,,,
2020,Hawaii,Maui,181000,,,,,,,,,,
2020,Hawaii,Kauai,75600,,,,,,,,,,
2020,Hawaii,Honolulu,1003700,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
