year,state,county,total_pop,turnout_per,voter_turnout,rep_votes,rep_vote_per,dem_votes,dem_vote_per,oth_votes,oth_vote_per,,,,
2020,North Dakota,Adams,1920,,,,,,,,,,,,
2020,North Dakota,Barnes,8917,,,,,,,,,,,,
2020,North Dakota,Benson,4713,,,,,,,,,,,,
2020,North Dakota,Billings,811,,,,,,,,,,,,
2020,North Dakota,Bottineau,5412,,,,,,,,,,,,
2020,North Dakota,Bowman,2587,,,,,,,,,,,,
2020,North Dakota,Burke,1942,,,,,,,,,,,,
2020,North Dakota,Burleigh,76045,,,,,,,,,,,,
2020,North Dakota,Cass,143137,,,,,,,,,,,,
2020,North Dakota,Cavalier,3012,,,,,,,,,,,,
2020,North Dakota,Dickey,3923,,,,,,,,,,,,
2020,North Dakota,Divide,2180,,,,,,,,,,,,
2020,North Dakota,Dunn,4004,,,,,,,,,,,,
2020,North Dakota,Eddy,1854,,,,,,,,,,,,
2020,North Dakota,Emmons,2665,,,,,,,,,,,,
2020,North Dakota,Foster,2655,,,,,,,,,,,,
2020,North Dakota,Golden Valley,1504,,,,,,,,,,,,
2020,North Dakota,Grand Forks,60243,,,,,,,,,,,,
2020,North Dakota,Grant,1883,,,,,,,,,,,,
2020,North Dakota,Griggs,1808,,,,,,,,,,,,
2020,North Dakota,Hettinger,2184,,,,,,,,,,,,
2020,North Dakota,Kidder,1892,,,,,,,,,,,,
2020,North Dakota,LaMoure,3241,,,,,,,,,,,,
2020,North Dakota,Logan,1525,,,,,,,,,,,,
2020,North Dakota,McHenry,4996,,,,,,,,,,,,
2020,North Dakota,McIntosh,2245,,,,,,,,,,,,
2020,North Dakota,McKenzie,10554,,,,,,,,,,,,
2020,North Dakota,McLean,7929,,,,,,,,,,,,
2020,North Dakota,Mercer,6979,,,,,,,,,,,,
2020,North Dakota,Morton,24600,,,,,,,,,,,,
2020,North Dakota,Mountrail,8792,,,,,,,,,,,,
2020,North Dakota,Nelson,2410,,,,,,,,,,,,
2020,North Dakota,Oliver,1452,,,,,,,,,,,,
2020,North Dakota,Pembina,5417,,,,,,,,,,,,
2020,North Dakota,Pierce,3477,,,,,,,,,,,,
2020,North Dakota,Ramsey,9092,,,,,,,,,,,,
2020,North Dakota,Ransom,4172,,,,,,,,,,,,
2020,North Dakota,Renville,2086,,,,,,,,,,,,
2020,North Dakota,Richland,13103,,,,,,,,,,,,
2020,North Dakota,Rolette,10242,,,,,,,,,,,,
2020,North Dakota,Sargent,3199,,,,,,,,,,,,
2020,North Dakota,Sheridan,1104,,,,,,,,,,,,
2020,North Dakota,Sioux,2982,,,,,,,,,,,,
2020,North Dakota,Slope,619,,,,,,,,,,,,
2020,North Dakota,Stark,26998,,,,,,,,,,,,
2020,North Dakota,Steele,1534,,,,,,,,,,,,
2020,North Dakota,Stutsman,16877,,,,,,,,,,,,
2020,North Dakota,Towner,1867,,,,,,,,,,,,
2020,North Dakota,Traill,6255,,,,,,,,,,,,
2020,North Dakota,Walsh,8392,,,,,,,,,,,,
2020,North Dakota,Ward,59125,,,,,,,,,,,,
